"id","country_id:id","name","code"
"state_co_201","base.co","MEDELLÍN / Antioquia","05001"
"state_co_202","base.co","ABEJORRAL / Antioquia","05002"
"state_co_203","base.co","ABRIAQUÍ / Antioquia","05004"
"state_co_204","base.co","ALEJANDRÍA / Antioquia","05021"
"state_co_205","base.co","AMAGÁ / Antioquia","05030"
"state_co_206","base.co","AMALFI / Antioquia","05031"
"state_co_207","base.co","ANDES / Antioquia","05034"
"state_co_208","base.co","ANGELÓPOLIS / Antioquia","05036"
"state_co_209","base.co","ANGOSTURA / Antioquia","05038"
"state_co_210","base.co","ANORÍ / Antioquia","05040"
"state_co_211","base.co","SANTAFÉ DE ANTIOQUIA / Antioquia","05042"
"state_co_212","base.co","ANZA / Antioquia","05044"
"state_co_213","base.co","APARTADÓ / Antioquia","05045"
"state_co_214","base.co","ARBOLETES / Antioquia","05051"
"state_co_215","base.co","ARGELIA / Antioquia","05055"
"state_co_216","base.co","ARMENIA / Antioquia","05059"
"state_co_217","base.co","BARBOSA / Antioquia","05079"
"state_co_218","base.co","BELMIRA / Antioquia","05086"
"state_co_219","base.co","BELLO / Antioquia","05088"
"state_co_220","base.co","BETANIA / Antioquia","05091"
"state_co_221","base.co","BETULIA / Antioquia","05093"
"state_co_222","base.co","CIUDAD BOLÍVAR / Antioquia","05101"
"state_co_223","base.co","BRICEÑO / Antioquia","05107"
"state_co_224","base.co","BURITICÁ / Antioquia","05113"
"state_co_225","base.co","CÁCERES / Antioquia","05120"
"state_co_226","base.co","CAICEDO / Antioquia","05125"
"state_co_227","base.co","CALDAS / Antioquia","05129"
"state_co_228","base.co","CAMPAMENTO / Antioquia","05134"
"state_co_229","base.co","CAÑASGORDAS / Antioquia","05138"
"state_co_230","base.co","CARACOLÍ / Antioquia","05142"
"state_co_231","base.co","CARAMANTA / Antioquia","05145"
"state_co_232","base.co","CAREPA / Antioquia","05147"
"state_co_233","base.co","EL CARMEN DE VIBORAL / Antioquia","05148"
"state_co_234","base.co","CAROLINA / Antioquia","05150"
"state_co_235","base.co","CAUCASIA / Antioquia","05154"
"state_co_236","base.co","CHIGORODÓ / Antioquia","05172"
"state_co_237","base.co","CISNEROS / Antioquia","05190"
"state_co_238","base.co","COCORNÁ / Antioquia","05197"
"state_co_239","base.co","CONCEPCIÓN / Antioquia","05206"
"state_co_240","base.co","CONCORDIA / Antioquia","05209"
"state_co_241","base.co","COPACABANA / Antioquia","05212"
"state_co_242","base.co","DABEIBA / Antioquia","05234"
"state_co_243","base.co","DON MATÍAS / Antioquia","05237"
"state_co_244","base.co","EBÉJICO / Antioquia","05240"
"state_co_245","base.co","EL BAGRE / Antioquia","05250"
"state_co_246","base.co","ENTRERRIOS / Antioquia","05264"
"state_co_247","base.co","ENVIGADO / Antioquia","05266"
"state_co_248","base.co","FREDONIA / Antioquia","05282"
"state_co_249","base.co","FRONTINO / Antioquia","05284"
"state_co_250","base.co","GIRALDO / Antioquia","05306"
"state_co_251","base.co","GIRARDOTA / Antioquia","05308"
"state_co_252","base.co","GÓMEZ PLATA / Antioquia","05310"
"state_co_253","base.co","GRANADA / Antioquia","05313"
"state_co_254","base.co","GUADALUPE / Antioquia","05315"
"state_co_255","base.co","GUARNE / Antioquia","05318"
"state_co_256","base.co","GUATAPE / Antioquia","05321"
"state_co_257","base.co","HELICONIA / Antioquia","05347"
"state_co_258","base.co","HISPANIA / Antioquia","05353"
"state_co_259","base.co","ITAGUI / Antioquia","05360"
"state_co_260","base.co","ITUANGO / Antioquia","05361"
"state_co_261","base.co","JARDÍN / Antioquia","05364"
"state_co_262","base.co","JERICÓ / Antioquia","05368"
"state_co_263","base.co","LA CEJA / Antioquia","05376"
"state_co_264","base.co","LA ESTRELLA / Antioquia","05380"
"state_co_265","base.co","LA PINTADA / Antioquia","05390"
"state_co_266","base.co","LA UNIÓN / Antioquia","05400"
"state_co_267","base.co","LIBORINA / Antioquia","05411"
"state_co_268","base.co","MACEO / Antioquia","05425"
"state_co_269","base.co","MARINILLA / Antioquia","05440"
"state_co_270","base.co","MONTEBELLO / Antioquia","05467"
"state_co_271","base.co","MURINDÓ / Antioquia","05475"
"state_co_272","base.co","MUTATÁ / Antioquia","05480"
"state_co_273","base.co","NARIÑO / Antioquia","05483"
"state_co_274","base.co","NECOCLÍ / Antioquia","05490"
"state_co_275","base.co","NECHÍ / Antioquia","05495"
"state_co_276","base.co","OLAYA / Antioquia","05501"
"state_co_277","base.co","PEÑOL / Antioquia","05541"
"state_co_278","base.co","PEQUE / Antioquia","05543"
"state_co_279","base.co","PUEBLORRICO / Antioquia","05576"
"state_co_280","base.co","PUERTO BERRÍO / Antioquia","05579"
"state_co_281","base.co","PUERTO NARE / Antioquia","05585"
"state_co_282","base.co","PUERTO TRIUNFO / Antioquia","05591"
"state_co_283","base.co","REMEDIOS / Antioquia","05604"
"state_co_284","base.co","RETIRO / Antioquia","05607"
"state_co_285","base.co","RIONEGRO / Antioquia","05615"
"state_co_286","base.co","SABANALARGA / Antioquia","05628"
"state_co_287","base.co","SABANETA / Antioquia","05631"
"state_co_288","base.co","SALGAR / Antioquia","05642"
"state_co_289","base.co","SAN ANDRÉS / Antioquia","05647"
"state_co_290","base.co","SAN CARLOS / Antioquia","05649"
"state_co_291","base.co","SAN FRANCISCO / Antioquia","05652"
"state_co_292","base.co","SAN JERÓNIMO / Antioquia","05656"
"state_co_293","base.co","SAN JOSÉ DE LA MONTAÑA / Antioquia","05658"
"state_co_294","base.co","SAN JUAN DE URABÁ / Antioquia","05659"
"state_co_295","base.co","SAN LUIS / Antioquia","05660"
"state_co_296","base.co","SAN PEDRO / Antioquia","05664"
"state_co_297","base.co","SAN PEDRO DE URABA / Antioquia","05665"
"state_co_298","base.co","SAN RAFAEL / Antioquia","05667"
"state_co_299","base.co","SAN ROQUE / Antioquia","05670"
"state_co_300","base.co","SAN VICENTE / Antioquia","05674"
"state_co_301","base.co","SANTA BÁRBARA / Antioquia","05679"
"state_co_302","base.co","SANTA ROSA DE OSOS / Antioquia","05686"
"state_co_303","base.co","SANTO DOMINGO / Antioquia","05690"
"state_co_304","base.co","EL SANTUARIO / Antioquia","05697"
"state_co_305","base.co","SEGOVIA / Antioquia","05736"
"state_co_306","base.co","SONSON / Antioquia","05756"
"state_co_307","base.co","SOPETRÁN / Antioquia","05761"
"state_co_308","base.co","TÁMESIS / Antioquia","05789"
"state_co_309","base.co","TARAZÁ / Antioquia","05790"
"state_co_310","base.co","TARSO / Antioquia","05792"
"state_co_311","base.co","TITIRIBÍ / Antioquia","05809"
"state_co_312","base.co","TOLEDO / Antioquia","05819"
"state_co_313","base.co","TURBO / Antioquia","05837"
"state_co_314","base.co","URAMITA / Antioquia","05842"
"state_co_315","base.co","URRAO / Antioquia","05847"
"state_co_316","base.co","VALDIVIA / Antioquia","05854"
"state_co_317","base.co","VALPARAÍSO / Antioquia","05856"
"state_co_318","base.co","VEGACHÍ / Antioquia","05858"
"state_co_319","base.co","VENECIA / Antioquia","05861"
"state_co_320","base.co","VIGÍA DEL FUERTE / Antioquia","05873"
"state_co_321","base.co","YALÍ / Antioquia","05885"
"state_co_322","base.co","YARUMAL / Antioquia","05887"
"state_co_323","base.co","YOLOMBÓ / Antioquia","05890"
"state_co_324","base.co","YONDÓ / Antioquia","05893"
"state_co_325","base.co","ZARAGOZA / Antioquia","05895"
"state_co_326","base.co","BARRANQUILLA / Atlántico","08001"
"state_co_327","base.co","BARANOA / Atlántico","08078"
"state_co_328","base.co","CAMPO DE LA CRUZ / Atlántico","08137"
"state_co_329","base.co","CANDELARIA / Atlántico","08141"
"state_co_330","base.co","GALAPA / Atlántico","08296"
"state_co_331","base.co","JUAN DE ACOSTA / Atlántico","08372"
"state_co_332","base.co","LURUACO / Atlántico","08421"
"state_co_333","base.co","MALAMBO / Atlántico","08433"
"state_co_334","base.co","MANATÍ / Atlántico","08436"
"state_co_335","base.co","PALMAR DE VARELA / Atlántico","08520"
"state_co_336","base.co","PIOJÓ / Atlántico","08549"
"state_co_337","base.co","POLONUEVO / Atlántico","08558"
"state_co_338","base.co","PONEDERA / Atlántico","08560"
"state_co_339","base.co","PUERTO COLOMBIA / Atlántico","08573"
"state_co_340","base.co","REPELÓN / Atlántico","08606"
"state_co_341","base.co","SABANAGRANDE / Atlántico","08634"
"state_co_342","base.co","SABANALARGA / Atlántico","08638"
"state_co_343","base.co","SANTA LUCÍA / Atlántico","08675"
"state_co_344","base.co","SANTO TOMÁS / Atlántico","08685"
"state_co_345","base.co","SOLEDAD / Atlántico","08758"
"state_co_346","base.co","SUAN / Atlántico","08770"
"state_co_347","base.co","TUBARÁ / Atlántico","08832"
"state_co_348","base.co","USIACURÍ / Atlántico","08849"
"state_co_349","base.co","BOGOTÁ / Bogotá D.C","11001"
"state_co_350","base.co","CARTAGENA / Bolívar","13001"
"state_co_351","base.co","ACHÍ / Bolívar","13006"
"state_co_352","base.co","ALTOS DEL ROSARIO / Bolívar","13030"
"state_co_353","base.co","ARENAL / Bolívar","13042"
"state_co_354","base.co","ARJONA / Bolívar","13052"
"state_co_355","base.co","ARROYOHONDO / Bolívar","13062"
"state_co_356","base.co","BARRANCO DE LOBA / Bolívar","13074"
"state_co_357","base.co","CALAMAR / Bolívar","13140"
"state_co_358","base.co","CANTAGALLO / Bolívar","13160"
"state_co_359","base.co","CICUCO / Bolívar","13188"
"state_co_360","base.co","CÓRDOBA / Bolívar","13212"
"state_co_361","base.co","CLEMENCIA / Bolívar","13222"
"state_co_362","base.co","EL CARMEN DE BOLÍVAR / Bolívar","13244"
"state_co_363","base.co","EL GUAMO / Bolívar","13248"
"state_co_364","base.co","EL PEÑÓN / Bolívar","13268"
"state_co_365","base.co","HATILLO DE LOBA / Bolívar","13300"
"state_co_366","base.co","MAGANGUÉ / Bolívar","13430"
"state_co_367","base.co","MAHATES / Bolívar","13433"
"state_co_368","base.co","MARGARITA / Bolívar","13440"
"state_co_369","base.co","MARÍA LA BAJA / Bolívar","13442"
"state_co_370","base.co","MONTECRISTO / Bolívar","13458"
"state_co_371","base.co","MOMPÓS / Bolívar","13468"
"state_co_372","base.co","MORALES / Bolívar","13473"
"state_co_373","base.co","PINILLOS / Bolívar","13549"
"state_co_374","base.co","REGIDOR / Bolívar","13580"
"state_co_375","base.co","RÍO VIEJO / Bolívar","13600"
"state_co_376","base.co","SAN CRISTÓBAL / Bolívar","13620"
"state_co_377","base.co","SAN ESTANISLAO / Bolívar","13647"
"state_co_378","base.co","SAN FERNANDO / Bolívar","13650"
"state_co_379","base.co","SAN JACINTO / Bolívar","13654"
"state_co_380","base.co","SAN JACINTO DEL CAUCA / Bolívar","13655"
"state_co_381","base.co","SAN JUAN NEPOMUCENO / Bolívar","13657"
"state_co_382","base.co","SAN MARTÍN DE LOBA / Bolívar","13667"
"state_co_383","base.co","SAN PABLO / Bolívar","13670"
"state_co_384","base.co","SANTA CATALINA / Bolívar","13673"
"state_co_385","base.co","SANTA ROSA / Bolívar","13683"
"state_co_386","base.co","SANTA ROSA DEL SUR / Bolívar","13688"
"state_co_387","base.co","SIMITÍ / Bolívar","13744"
"state_co_388","base.co","SOPLAVIENTO / Bolívar","13760"
"state_co_389","base.co","TALAIGUA NUEVO / Bolívar","13780"
"state_co_390","base.co","TIQUISIO / Bolívar","13810"
"state_co_391","base.co","TURBACO / Bolívar","13836"
"state_co_392","base.co","TURBANÁ / Bolívar","13838"
"state_co_393","base.co","VILLANUEVA / Bolívar","13873"
"state_co_394","base.co","ZAMBRANO / Bolívar","13894"
"state_co_395","base.co","TUNJA / Boyacá","15001"
"state_co_396","base.co","ALMEIDA / Boyacá","15022"
"state_co_397","base.co","AQUITANIA / Boyacá","15047"
"state_co_398","base.co","ARCABUCO / Boyacá","15051"
"state_co_399","base.co","BELÉN / Boyacá","15087"
"state_co_400","base.co","BERBEO / Boyacá","15090"
"state_co_401","base.co","BETÉITIVA / Boyacá","15092"
"state_co_402","base.co","BOAVITA / Boyacá","15097"
"state_co_403","base.co","BOYACÁ / Boyacá","15104"
"state_co_404","base.co","BRICEÑO / Boyacá","15106"
"state_co_405","base.co","BUENAVISTA / Boyacá","15109"
"state_co_406","base.co","BUSBANZÁ / Boyacá","15114"
"state_co_407","base.co","CALDAS / Boyacá","15131"
"state_co_408","base.co","CAMPOHERMOSO / Boyacá","15135"
"state_co_409","base.co","CERINZA / Boyacá","15162"
"state_co_410","base.co","CHINAVITA / Boyacá","15172"
"state_co_411","base.co","CHIQUINQUIRÁ / Boyacá","15176"
"state_co_412","base.co","CHISCAS / Boyacá","15180"
"state_co_413","base.co","CHITA / Boyacá","15183"
"state_co_414","base.co","CHITARAQUE / Boyacá","15185"
"state_co_415","base.co","CHIVATÁ / Boyacá","15187"
"state_co_416","base.co","CIÉNEGA / Boyacá","15189"
"state_co_417","base.co","CÓMBITA / Boyacá","15204"
"state_co_418","base.co","COPER / Boyacá","15212"
"state_co_419","base.co","CORRALES / Boyacá","15215"
"state_co_420","base.co","COVARACHÍA / Boyacá","15218"
"state_co_421","base.co","CUBARÁ / Boyacá","15223"
"state_co_422","base.co","CUCAITA / Boyacá","15224"
"state_co_423","base.co","CUÍTIVA / Boyacá","15226"
"state_co_424","base.co","CHÍQUIZA / Boyacá","15232"
"state_co_425","base.co","CHIVOR / Boyacá","15236"
"state_co_426","base.co","DUITAMA / Boyacá","15238"
"state_co_427","base.co","EL COCUY / Boyacá","15244"
"state_co_428","base.co","EL ESPINO / Boyacá","15248"
"state_co_429","base.co","FIRAVITOBA / Boyacá","15272"
"state_co_430","base.co","FLORESTA / Boyacá","15276"
"state_co_431","base.co","GACHANTIVÁ / Boyacá","15293"
"state_co_432","base.co","GAMEZA / Boyacá","15296"
"state_co_433","base.co","GARAGOA / Boyacá","15299"
"state_co_434","base.co","GUACAMAYAS / Boyacá","15317"
"state_co_435","base.co","GUATEQUE / Boyacá","15322"
"state_co_436","base.co","GUAYATÁ / Boyacá","15325"
"state_co_437","base.co","GÜICÁN / Boyacá","15332"
"state_co_438","base.co","IZA / Boyacá","15362"
"state_co_439","base.co","JENESANO / Boyacá","15367"
"state_co_440","base.co","JERICÓ / Boyacá","15368"
"state_co_441","base.co","LABRANZAGRANDE / Boyacá","15377"
"state_co_442","base.co","LA CAPILLA / Boyacá","15380"
"state_co_443","base.co","LA VICTORIA / Boyacá","15401"
"state_co_444","base.co","LA UVITA / Boyacá","15403"
"state_co_445","base.co","VILLA DE LEYVA / Boyacá","15407"
"state_co_446","base.co","MACANAL / Boyacá","15425"
"state_co_447","base.co","MARIPÍ / Boyacá","15442"
"state_co_448","base.co","MIRAFLORES / Boyacá","15455"
"state_co_449","base.co","MONGUA / Boyacá","15464"
"state_co_450","base.co","MONGUÍ / Boyacá","15466"
"state_co_451","base.co","MONIQUIRÁ / Boyacá","15469"
"state_co_452","base.co","MOTAVITA / Boyacá","15476"
"state_co_453","base.co","MUZO / Boyacá","15480"
"state_co_454","base.co","NOBSA / Boyacá","15491"
"state_co_455","base.co","NUEVO COLÓN / Boyacá","15494"
"state_co_456","base.co","OICATÁ / Boyacá","15500"
"state_co_457","base.co","OTANCHE / Boyacá","15507"
"state_co_458","base.co","PACHAVITA / Boyacá","15511"
"state_co_459","base.co","PÁEZ / Boyacá","15514"
"state_co_460","base.co","PAIPA / Boyacá","15516"
"state_co_461","base.co","PAJARITO / Boyacá","15518"
"state_co_462","base.co","PANQUEBA / Boyacá","15522"
"state_co_463","base.co","PAUNA / Boyacá","15531"
"state_co_464","base.co","PAYA / Boyacá","15533"
"state_co_465","base.co","PAZ DE RÍO / Boyacá","15537"
"state_co_466","base.co","PESCA / Boyacá","15542"
"state_co_467","base.co","PISBA / Boyacá","15550"
"state_co_468","base.co","PUERTO BOYACÁ / Boyacá","15572"
"state_co_469","base.co","QUÍPAMA / Boyacá","15580"
"state_co_470","base.co","RAMIRIQUÍ / Boyacá","15599"
"state_co_471","base.co","RÁQUIRA / Boyacá","15600"
"state_co_472","base.co","RONDÓN / Boyacá","15621"
"state_co_473","base.co","SABOYÁ / Boyacá","15632"
"state_co_474","base.co","SÁCHICA / Boyacá","15638"
"state_co_475","base.co","SAMACÁ / Boyacá","15646"
"state_co_476","base.co","SAN EDUARDO / Boyacá","15660"
"state_co_477","base.co","SAN JOSÉ DE PARE / Boyacá","15664"
"state_co_478","base.co","SAN LUIS DE GACENO / Boyacá","15667"
"state_co_479","base.co","SAN MATEO / Boyacá","15673"
"state_co_480","base.co","SAN MIGUEL DE SEMA / Boyacá","15676"
"state_co_481","base.co","SAN PABLO DE BORBUR / Boyacá","15681"
"state_co_482","base.co","SANTANA / Boyacá","15686"
"state_co_483","base.co","SANTA MARÍA / Boyacá","15690"
"state_co_484","base.co","SANTA ROSA DE VITERBO / Boyacá","15693"
"state_co_485","base.co","SANTA SOFÍA / Boyacá","15696"
"state_co_486","base.co","SATIVANORTE / Boyacá","15720"
"state_co_487","base.co","SATIVASUR / Boyacá","15723"
"state_co_488","base.co","SIACHOQUE / Boyacá","15740"
"state_co_489","base.co","SOATÁ / Boyacá","15753"
"state_co_490","base.co","SOCOTÁ / Boyacá","15755"
"state_co_491","base.co","SOCHA / Boyacá","15757"
"state_co_492","base.co","SOGAMOSO / Boyacá","15759"
"state_co_493","base.co","SOMONDOCO / Boyacá","15761"
"state_co_494","base.co","SORA / Boyacá","15762"
"state_co_495","base.co","SOTAQUIRÁ / Boyacá","15763"
"state_co_496","base.co","SORACÁ / Boyacá","15764"
"state_co_497","base.co","SUSACÓN / Boyacá","15774"
"state_co_498","base.co","SUTAMARCHÁN / Boyacá","15776"
"state_co_499","base.co","SUTATENZA / Boyacá","15778"
"state_co_500","base.co","TASCO / Boyacá","15790"
"state_co_501","base.co","TENZA / Boyacá","15798"
"state_co_502","base.co","TIBANÁ / Boyacá","15804"
"state_co_503","base.co","TIBASOSA / Boyacá","15806"
"state_co_504","base.co","TINJACÁ / Boyacá","15808"
"state_co_505","base.co","TIPACOQUE / Boyacá","15810"
"state_co_506","base.co","TOCA / Boyacá","15814"
"state_co_507","base.co","TOGÜÍ / Boyacá","15816"
"state_co_508","base.co","TÓPAGA / Boyacá","15820"
"state_co_509","base.co","TOTA / Boyacá","15822"
"state_co_510","base.co","TUNUNGUÁ / Boyacá","15832"
"state_co_511","base.co","TURMEQUÉ / Boyacá","15835"
"state_co_512","base.co","TUTA / Boyacá","15837"
"state_co_513","base.co","TUTAZÁ / Boyacá","15839"
"state_co_514","base.co","UMBITA / Boyacá","15842"
"state_co_515","base.co","VENTAQUEMADA / Boyacá","15861"
"state_co_516","base.co","VIRACACHÁ / Boyacá","15879"
"state_co_517","base.co","ZETAQUIRA / Boyacá","15897"
"state_co_518","base.co","MANIZALES / Caldas","17001"
"state_co_519","base.co","AGUADAS / Caldas","17013"
"state_co_520","base.co","ANSERMA / Caldas","17042"
"state_co_521","base.co","ARANZAZU / Caldas","17050"
"state_co_522","base.co","BELALCÁZAR / Caldas","17088"
"state_co_523","base.co","CHINCHINÁ / Caldas","17174"
"state_co_524","base.co","FILADELFIA / Caldas","17272"
"state_co_525","base.co","LA DORADA / Caldas","17380"
"state_co_526","base.co","LA MERCED / Caldas","17388"
"state_co_527","base.co","MANZANARES / Caldas","17433"
"state_co_528","base.co","MARMATO / Caldas","17442"
"state_co_529","base.co","MARQUETALIA / Caldas","17444"
"state_co_530","base.co","MARULANDA / Caldas","17446"
"state_co_531","base.co","NEIRA / Caldas","17486"
"state_co_532","base.co","NORCASIA / Caldas","17495"
"state_co_533","base.co","PÁCORA / Caldas","17513"
"state_co_534","base.co","PALESTINA / Caldas","17524"
"state_co_535","base.co","PENSILVANIA / Caldas","17541"
"state_co_536","base.co","RIOSUCIO / Caldas","17614"
"state_co_537","base.co","RISARALDA / Caldas","17616"
"state_co_538","base.co","SALAMINA / Caldas","17653"
"state_co_539","base.co","SAMANÁ / Caldas","17662"
"state_co_540","base.co","SAN JOSÉ / Caldas","17665"
"state_co_541","base.co","SUPÍA / Caldas","17777"
"state_co_542","base.co","VICTORIA / Caldas","17867"
"state_co_543","base.co","VILLAMARÍA / Caldas","17873"
"state_co_544","base.co","VITERBO / Caldas","17877"
"state_co_545","base.co","FLORENCIA / Caquetá","18001"
"state_co_546","base.co","ALBANIA / Caquetá","18029"
"state_co_547","base.co","BELÉN DE LOS ANDAQUIES / Caquetá","18094"
"state_co_548","base.co","CARTAGENA DEL CHAIRÁ / Caquetá","18150"
"state_co_549","base.co","CURILLO / Caquetá","18205"
"state_co_550","base.co","EL DONCELLO / Caquetá","18247"
"state_co_551","base.co","EL PAUJIL / Caquetá","18256"
"state_co_552","base.co","LA MONTAÑITA / Caquetá","18410"
"state_co_553","base.co","MILÁN / Caquetá","18460"
"state_co_554","base.co","MORELIA / Caquetá","18479"
"state_co_555","base.co","PUERTO RICO / Caquetá","18592"
"state_co_556","base.co","SAN JOSÉ DEL FRAGUA / Caquetá","18610"
"state_co_557","base.co","SAN VICENTE DEL CAGUÁN / Caquetá","18753"
"state_co_558","base.co","SOLANO / Caquetá","18756"
"state_co_559","base.co","SOLITA / Caquetá","18785"
"state_co_560","base.co","VALPARAÍSO / Caquetá","18860"
"state_co_561","base.co","POPAYÁN / Cauca","19001"
"state_co_562","base.co","ALMAGUER / Cauca","19022"
"state_co_563","base.co","ARGELIA / Cauca","19050"
"state_co_564","base.co","BALBOA / Cauca","19075"
"state_co_565","base.co","BOLÍVAR / Cauca","19100"
"state_co_566","base.co","BUENOS AIRES / Cauca","19110"
"state_co_567","base.co","CAJIBÍO / Cauca","19130"
"state_co_568","base.co","CALDONO / Cauca","19137"
"state_co_569","base.co","CALOTO / Cauca","19142"
"state_co_570","base.co","CORINTO / Cauca","19212"
"state_co_571","base.co","EL TAMBO / Cauca","19256"
"state_co_572","base.co","FLORENCIA / Cauca","19290"
"state_co_573","base.co","GUAPI / Cauca","19318"
"state_co_574","base.co","INZÁ / Cauca","19355"
"state_co_575","base.co","JAMBALÓ / Cauca","19364"
"state_co_576","base.co","LA SIERRA / Cauca","19392"
"state_co_577","base.co","LA VEGA / Cauca","19397"
"state_co_578","base.co","LÓPEZ / Cauca","19418"
"state_co_579","base.co","MERCADERES / Cauca","19450"
"state_co_580","base.co","MIRANDA / Cauca","19455"
"state_co_581","base.co","MORALES / Cauca","19473"
